gene	family	description
CBFA2T3	ZMYND	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3"
DEAF1	ZMYND	deformed epidermal autoregulatory factor 1 (Drosophila)
EGLN1	ZMYND	egl nine homolog 1 (C. elegans)
PDCD2	ZMYND	programmed cell death 2
PRKCBP1	ZMYND	protein kinase C binding protein 1
RUNX1T1	ZMYND	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
SMYD1	ZMYND	SET and MYND domain containing 1
SMYD2	ZMYND	SET and MYND domain containing 2
SMYD3	ZMYND	SET and MYND domain containing 3
SMYD4	ZMYND	SET and MYND domain containing 4
SMYD5	ZMYND	SMYD family member 5
ZMYND10	ZMYND	"zinc finger, MYND-type containing 10"
ZMYND11	ZMYND	"zinc finger, MYND domain containing 11"
ZMYND12	ZMYND	"zinc finger, MYND-type containing 12"
ZMYND15	ZMYND	"zinc finger, MYND-type containing 15"
ZMYND17	ZMYND	"zinc finger, MYND-type containing 17"
ZMYND19	ZMYND	"zinc finger, MYND-type containing 19"
USP19	"ZMYND, USP"	ubiquitin specific peptidase 19
BCL11A	ZNF	B-cell CLL/lymphoma 11A (zinc finger protein)
BCL11B	ZNF	B-cell CLL/lymphoma 11B (zinc finger protein)
BSN	ZNF	bassoon (presynaptic cytomatrix protein)
CIZ1	ZNF	CDKN1A interacting zinc finger protein 1
CTCF	ZNF	CCCTC-binding factor (zinc finger protein)
FEZF2	ZNF	FEZ family zinc finger 2
FIZ1	ZNF	FLT3-interacting zinc finger 1
GFI1	ZNF	growth factor independent 1
GLIS1	ZNF	GLIS family zinc finger 1
GLIS2	ZNF	GLIS family zinc finger 2
GLIS3	ZNF	GLIS family zinc finger 3
HELZ	ZNF	helicase with zinc finger
HIVEP1	ZNF	human immunodeficiency virus type I enhancer binding protein 1
IKZF1	ZNF	IKAROS family zinc finger 1 (Ikaros)
IKZF2	ZNF	IKAROS family zinc finger 2 (Helios)
IKZF3	ZNF	IKAROS family zinc finger 3 (Aiolos)
IKZF4	ZNF	IKAROS family zinc finger 4 (Eos)
IKZF5	ZNF	IKAROS family zinc finger 5 (Pegasus)
LZTS1	ZNF	"leucine zipper, putative tumor suppressor 1"
MAZ	ZNF	MYC-associated zinc finger protein (purine-binding transcription factor)
MIZF	ZNF	MBD2-interacting zinc finger
MYST3	ZNF	MYST histone acetyltransferase (monocytic leukemia) 3
OVOL2	ZNF	ovo-like 2 (Drosophila)
PRDM15	ZNF	PR domain containing 15
REPIN1	ZNF	replication initiator 1
RLFP	ZNF	rearranged L-myc fusion pseudogene
SALL3	ZNF	sal-like 3 (Drosophila)
SCRT1	ZNF	"scratch homolog 1, zinc finger protein (Drosophila)"
SCRT2	ZNF	"scratch homolog 2, zinc finger protein (Drosophila)"
SF1	ZNF	splicing factor 1
ST18	ZNF	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)
VEZF1	ZNF	vascular endothelial zinc finger 1
YY2	ZNF	YY2 transcription factor
ZFHX2	ZNF	zinc finger homeobox 2
ZFP1	ZNF	zinc finger protein 1 homolog (mouse)
ZFP3	ZNF	zinc finger protein 3 homolog (mouse)
ZFP14	ZNF	zinc finger protein 14 homolog (mouse)
ZFP28	ZNF	zinc finger protein 28 homolog (mouse)
ZFP30	ZNF	zinc finger protein 30 homolog (mouse)
ZFP37	ZNF	zinc finger protein 37 homolog (mouse)
ZFP42	ZNF	zinc finger protein 42 homolog (mouse)
ZFP62	ZNF	zinc finger protein 62 homolog (mouse)
ZFP64	ZNF	zinc finger protein 64 homolog (mouse)
ZFP90	ZNF	zinc finger protein 90 homolog (mouse)
ZFP91	ZNF	zinc finger protein 91 homolog (mouse)
ZFP92	ZNF	zinc finger protein 92 homolog (mouse)
ZFP106	ZNF	zinc finger protein 106 homolog (mouse)
ZFPL1	ZNF	zinc finger protein-like 1
ZFPM1	ZNF	"zinc finger protein, multitype 1"
ZFPM2	ZNF	"zinc finger protein, multitype 2"
ZFR	ZNF	zinc finger RNA binding protein
ZFX	ZNF	"zinc finger protein, X-linked"
ZFY	ZNF	"zinc finger protein, Y-linked"
ZHX1	ZNF	zinc fingers and homeoboxes 1
ZHX2	ZNF	zinc fingers and homeoboxes 2
ZHX3	ZNF	zinc fingers and homeoboxes 3
ZIC1	ZNF	"Zic family member 1 (odd-paired homolog, Drosophila)"
ZIC3	ZNF	"Zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila)"
ZIM2	ZNF	"zinc finger, imprinted 2"
ZIM3	ZNF	"zinc finger, imprinted 3"
ZMYM2	ZNF	"zinc finger, MYM-type 2"
ZMYM3	ZNF	"zinc finger, MYM-type 3"
ZMYM4	ZNF	"zinc finger, MYM-type 4"
ZMYM5	ZNF	"zinc finger, MYM-type 5"
ZMYM6	ZNF	"zinc finger, MYM-type 6"
ZNF1	ZNF	zinc finger protein 1
ZNF2	ZNF	zinc finger protein 2
ZNF3	ZNF	zinc finger protein 3
ZNF7	ZNF	zinc finger protein 7
ZNF8	ZNF	zinc finger protein 8
ZNF10	ZNF	zinc finger protein 10
ZNF12	ZNF	zinc finger protein 12
ZNF14	ZNF	zinc finger protein 14
ZNF16	ZNF	zinc finger protein 16
ZNF17	ZNF	zinc finger protein 17
ZNF19	ZNF	zinc finger protein 19
ZNF20	ZNF	zinc finger protein 20
ZNF22	ZNF	zinc finger protein 22 (KOX 15)
ZNF23	ZNF	zinc finger protein 23 (KOX 16)
ZNF25	ZNF	zinc finger protein 25
ZNF26	ZNF	zinc finger protein 26
ZNF28	ZNF	zinc finger protein 28
ZNF30	ZNF	zinc finger protein 30
ZNF32	ZNF	zinc finger protein 32
ZNF32OS1	ZNF	zinc finger protein 32 opposite strand 1
ZNF32OS2	ZNF	zinc finger protein 32 opposite strand 2
ZNF33A	ZNF	zinc finger protein 33A
ZNF33B	ZNF	zinc finger protein 33B
ZNF34	ZNF	zinc finger protein 34
ZNF35	ZNF	zinc finger protein 35
ZNF37A	ZNF	zinc finger protein 37A
ZNF37B	ZNF	zinc finger protein 37B
ZNF41	ZNF	zinc finger protein 41
ZNF43	ZNF	zinc finger protein 43
ZNF43L	ZNF	zinc finger protein 43-like
ZNF44	ZNF	zinc finger protein 44
ZNF45	ZNF	zinc finger protein 45
ZNF48	ZNF	zinc finger protein 48
ZNF53A	ZNF	zinc finger protein 53A
ZNF53B	ZNF	zinc finger protein 53b
ZNF54A	ZNF	zinc finger protein 54a
ZNF54B	ZNF	zinc finger protein 54b
ZNF55	ZNF	zinc finger protein 55
ZNF56	ZNF	zinc finger protein 56
ZNF57	ZNF	zinc finger protein 57
ZNF60	ZNF	zinc finger protein 60
ZNF66	ZNF	zinc finger protein 66
ZNF67	ZNF	zinc finger protein 67
ZNF69	ZNF	zinc finger protein 69
ZNF70	ZNF	zinc finger protein 70
ZNF71	ZNF	zinc finger protein 71
ZNF72	ZNF	zinc finger protein 72
ZNF73	ZNF	zinc finger protein 73
ZNF74	ZNF	zinc finger protein 74
ZNF75	ZNF	zinc finger protein 75 (D8C6)
ZNF75A	ZNF	zinc finger protein 75a
ZNF75B	ZNF	zinc finger protein 75B
ZNF75C	ZNF	zinc finger protein 75c
ZNF76	ZNF	zinc finger protein 76 (expressed in testis)
ZNF77	ZNF	zinc finger protein 77
ZNF79	ZNF	zinc finger protein 79
ZNF80	ZNF	zinc finger protein 80
ZNF81	ZNF	zinc finger protein 81
ZNF83	ZNF	zinc finger protein 83
ZNF84	ZNF	zinc finger protein 84
ZNF85	ZNF	zinc finger protein 85
ZNF90	ZNF	zinc finger protein 90
ZNF91	ZNF	zinc finger protein 91
ZNF92	ZNF	zinc finger protein 92
ZNF93	ZNF	zinc finger protein 93
ZNF96L1	ZNF	zinc finger protein 96-like 1
ZNF97	ZNF	zinc finger protein 97 (F6644)
ZNF98	ZNF	zinc finger protein 98 (F7175)
ZNF99	ZNF	zinc finger protein 99
ZNF100	ZNF	zinc finger protein 100
ZNF101	ZNF	zinc finger protein 101
ZNF107	ZNF	zinc finger protein 107 (Y8)
ZNF108	ZNF	zinc finger protein 108 (Y9)
ZNF114	ZNF	zinc finger protein 114
ZNF114P1	ZNF	zinc finger protein 114 pseudogene 1
ZNF117	ZNF	zinc finger protein 117
ZNF121	ZNF	zinc finger protein 121
ZNF123	ZNF	zinc finger protein 123
ZNF124	ZNF	zinc finger protein 124
ZNF125	ZNF	zinc finger protein 125
ZNF126	ZNF	zinc finger protein 126
ZNF127AS	ZNF	zinc finger protein 127 antisense
ZNF131	ZNF	zinc finger protein 131
ZNF132	ZNF	zinc finger protein 132
ZNF133	ZNF	zinc finger protein 133
ZNF134	ZNF	zinc finger protein 134
ZNF135	ZNF	zinc finger protein 135
ZNF136	ZNF	zinc finger protein 136
ZNF137	ZNF	zinc finger protein 137
ZNF138	ZNF	zinc finger protein 138
ZNF140	ZNF	zinc finger protein 140
ZNF141	ZNF	zinc finger protein 141
ZNF142	ZNF	zinc finger protein 142
ZNF143	ZNF	zinc finger protein 143
ZNF146	ZNF	zinc finger protein 146
ZNF148	ZNF	zinc finger protein 148
ZNF154	ZNF	zinc finger protein 154
ZNF155	ZNF	zinc finger protein 155
ZNF157	ZNF	zinc finger protein 157
ZNF160	ZNF	zinc finger protein 160
ZNF164	ZNF	zinc finger protein 164
ZNF169	ZNF	zinc finger protein 169
ZNF171	ZNF	zinc finger protein 171 (clone 165)
ZNF172	ZNF	zinc finger protein 172 (clone 130)
ZNF175	ZNF	zinc finger protein 175
ZNF176	ZNF	zinc finger protein 176
ZNF177	ZNF	zinc finger protein 177
ZNF180	ZNF	zinc finger protein 180
ZNF181	ZNF	zinc finger protein 181
ZNF182	ZNF	zinc finger protein 182
ZNF182L	ZNF	zinc finger protein 182-like (HHZ150)
ZNF184	ZNF	zinc finger protein 184
ZNF185	ZNF	zinc finger protein 185 (LIM domain)
ZNF188	ZNF	zinc finger protein 188
ZNF189	ZNF	zinc finger protein 189
ZNF194	ZNF	zinc finger protein 194
ZNF195	ZNF	zinc finger protein 195
ZNF196	ZNF	zinc finger protein 196
ZNF199	ZNF	zinc finger protein 199
ZNF200	ZNF	zinc finger protein 200
ZNF204	ZNF	zinc finger protein 204
ZNF205	ZNF	zinc finger protein 205
ZNF207	ZNF	zinc finger protein 207
ZNF208	ZNF	zinc finger protein 208
ZNF209	ZNF	zinc finger protein 209 (pseudogene)
ZNF211	ZNF	zinc finger protein 211
ZNF212	ZNF	zinc finger protein 212
ZNF214	ZNF	zinc finger protein 214
ZNF217	ZNF	zinc finger protein 217
ZNF219	ZNF	zinc finger protein 219
ZNF221	ZNF	zinc finger protein 221
ZNF222	ZNF	zinc finger protein 222
ZNF223	ZNF	zinc finger protein 223
ZNF224	ZNF	zinc finger protein 224
ZNF225	ZNF	zinc finger protein 225
ZNF226	ZNF	zinc finger protein 226
ZNF227	ZNF	zinc finger protein 227
ZNF228	ZNF	zinc finger protein 228
ZNF229	ZNF	zinc finger protein 229
ZNF230	ZNF	zinc finger protein 230
ZNF233	ZNF	zinc finger protein 233
ZNF234	ZNF	zinc finger protein 234
ZNF235	ZNF	zinc finger protein 235
ZNF236	ZNF	zinc finger protein 236
ZNF239	ZNF	zinc finger protein 239
ZNF240	ZNF	zinc finger protein 240
ZNF241	ZNF	zinc finger protein 241
ZNF242	ZNF	zinc finger protein 242
ZNF243	ZNF	zinc finger protein 243
ZNF244	ZNF	zinc finger protein 244
ZNF245	ZNF	zinc finger protein 245
ZNF246	ZNF	zinc finger protein 246
ZNF247	ZNF	zinc finger protein 247
ZNF248	ZNF	zinc finger protein 248
ZNF249	ZNF	zinc finger protein 249
ZNF250	ZNF	zinc finger protein 250
ZNF251	ZNF	zinc finger protein 251
ZNF252	ZNF	zinc finger protein 252
ZNF253	ZNF	zinc finger protein 253
ZNF254	ZNF	zinc finger protein 254
ZNF256	ZNF	zinc finger protein 256
ZNF257	ZNF	zinc finger protein 257
ZNF259	ZNF	zinc finger protein 259
ZNF259P	ZNF	"zinc finger protein 259, pseudogene"
ZNF260	ZNF	zinc finger protein 260
ZNF264	ZNF	zinc finger protein 264
ZNF266	ZNF	zinc finger protein 266
ZNF267	ZNF	zinc finger protein 267
ZNF268	ZNF	zinc finger protein 268
ZNF271	ZNF	zinc finger protein 271
ZNF273	ZNF	zinc finger protein 273
ZNF275	ZNF	zinc finger protein 275
ZNF276	ZNF	zinc finger protein 276
ZNF277	ZNF	zinc finger protein 277
ZNF281	ZNF	zinc finger protein 281
ZNF282	ZNF	zinc finger protein 282
ZNF283	ZNF	zinc finger protein 283
ZNF284	ZNF	zinc finger protein 284
ZNF285	ZNF	zinc finger protein 285
ZNF286	ZNF	zinc finger protein 286
ZNF286L	ZNF	zinc finger protein 286-like
ZNF289	ZNF	"zinc finger protein 289, ID1 regulated"
ZNF291	ZNF	zinc finger protein 291
ZNF292	ZNF	zinc finger protein 292
ZNF296	ZNF	zinc finger protein 296
ZNF299	ZNF	zinc finger protein 299
ZNF299P	ZNF	zinc finger protein 299 pseudogene
ZNF300	ZNF	zinc finger protein 300
ZNF301	ZNF	zinc finger protein 301
ZNF302	ZNF	zinc finger protein 302
ZNF304	ZNF	zinc finger protein 304
ZNF309	ZNF	zinc finger protein 309
ZNF311	ZNF	zinc finger protein 311
ZNF314P	ZNF	zinc finger protein 314 pseudogene
ZNF315P	ZNF	zinc finger protein 315 pseudogene
ZNF316	ZNF	zinc finger protein 316
ZNF317	ZNF	zinc finger protein 317
ZNF317P1	ZNF	zinc finger protein 317 pseudogene 1
ZNF318	ZNF	zinc finger protein 318
ZNF319	ZNF	zinc finger protein 319
ZNF320	ZNF	zinc finger protein 320
ZNF321	ZNF	zinc finger protein 321
ZNF322A	ZNF	zinc finger protein 322A
ZNF322B	ZNF	zinc finger protein 322B
ZNF323	ZNF	zinc finger protein 323
ZNF324	ZNF	zinc finger protein 324
ZNF324B	ZNF	zinc finger protein 324B
ZNF326	ZNF	zinc finger protein 326
ZNF329	ZNF	zinc finger protein 329
ZNF330	ZNF	zinc finger protein 330
ZNF331	ZNF	zinc finger protein 331
ZNF333	ZNF	zinc finger protein 333
ZNF334	ZNF	zinc finger protein 334
ZNF335	ZNF	zinc finger protein 335
ZNF337	ZNF	zinc finger protein 337
ZNF341	ZNF	zinc finger protein 341
ZNF342	ZNF	zinc finger protein 342
ZNF343	ZNF	zinc finger protein 343
ZNF345	ZNF	zinc finger protein 345
ZNF346	ZNF	zinc finger protein 346
ZNF347	ZNF	zinc finger protein 347
ZNF350	ZNF	zinc finger protein 350
ZNF354A	ZNF	zinc finger protein 354A
ZNF354B	ZNF	zinc finger protein 354B
ZNF354C	ZNF	zinc finger protein 354C
ZNF355P	ZNF	"zinc finger protein 355, pseudogene"
ZNF358	ZNF	zinc finger protein 358
ZNF362	ZNF	zinc finger protein 362
ZNF365	ZNF	zinc finger protein 365
ZNF366	ZNF	zinc finger protein 366
ZNF367	ZNF	zinc finger protein 367
ZNF381P	ZNF	"zinc finger protein 381, Y-linked pseudogene"
ZNF382	ZNF	zinc finger protein 382
ZNF383	ZNF	zinc finger protein 383
ZNF384	ZNF	zinc finger protein 384
ZNF384OS	ZNF	zinc finger protein 384 opposite strand
ZNF385	ZNF	zinc finger protein 385
ZNF389	ZNF	zinc finger protein 389
ZNF391	ZNF	zinc finger protein 391
ZNF395	ZNF	zinc finger protein 395
ZNF398	ZNF	zinc finger protein 398
ZNF402P	ZNF	zinc finger protein 402 pseudogene
ZNF403	ZNF	zinc finger protein 403
ZNF404	ZNF	zinc finger protein 404
ZNF405P	ZNF	zinc finger protein 405 pseudogene
ZNF406	ZNF	zinc finger protein 406
ZNF407	ZNF	zinc finger protein 407
ZNF408	ZNF	zinc finger protein 408
ZNF409	ZNF	zinc finger protein 409
ZNF410	ZNF	zinc finger protein 410
ZNF414	ZNF	zinc finger protein 414
ZNF415	ZNF	zinc finger protein 415
ZNF416	ZNF	zinc finger protein 416
ZNF417	ZNF	zinc finger protein 417
ZNF418	ZNF	zinc finger protein 418
ZNF419A	ZNF	zinc finger protein 419A
ZNF420	ZNF	zinc finger protein 420
ZNF423	ZNF	zinc finger protein 423
ZNF425	ZNF	zinc finger protein 425
ZNF426	ZNF	zinc finger protein 426
ZNF427	ZNF	zinc finger protein 427
ZNF428	ZNF	zinc finger protein 428
ZNF429	ZNF	zinc finger protein 429
ZNF430	ZNF	zinc finger protein 430
ZNF431	ZNF	zinc finger protein 431
ZNF432	ZNF	zinc finger protein 432
ZNF433	ZNF	zinc finger protein 433
ZNF434	ZNF	zinc finger protein 434
ZNF436	ZNF	zinc finger protein 436
ZNF438	ZNF	zinc finger protein 438
ZNF439	ZNF	zinc finger protein 439
ZNF440	ZNF	zinc finger protein 440
ZNF441	ZNF	zinc finger protein 441
ZNF442	ZNF	zinc finger protein 442
ZNF443	ZNF	zinc finger protein 443
ZNF448	ZNF	zinc finger protein 448
ZNF451	ZNF	zinc finger protein 451
ZNF454	ZNF	zinc finger protein 454
ZNF460	ZNF	zinc finger protein 460
ZNF461	ZNF	zinc finger protein 461
ZNF462	ZNF	zinc finger protein 462
ZNF463P	ZNF	zinc finger protein 463 pseudogene
ZNF467	ZNF	zinc finger protein 467
ZNF469	ZNF	zinc finger protein 469
ZNF470	ZNF	zinc finger protein 470
ZNF471	ZNF	zinc finger protein 471
ZNF473	ZNF	zinc finger protein 473
ZNF474	ZNF	zinc finger protein 474
ZNF479	ZNF	zinc finger protein 479
ZNF480	ZNF	zinc finger protein 480
ZNF484	ZNF	zinc finger protein 484
ZNF485	ZNF	zinc finger protein 485
ZNF486	ZNF	zinc finger protein 486
ZNF487	ZNF	zinc finger protein 487
ZNF488	ZNF	zinc finger protein 488
ZNF490	ZNF	zinc finger protein 490
ZNF491	ZNF	zinc finger protein 491
ZNF492	ZNF	zinc finger protein 492
ZNF493	ZNF	zinc finger protein 493
ZNF497	ZNF	zinc finger protein 497
ZNF499	ZNF	zinc finger protein 499
ZNF501	ZNF	zinc finger protein 501
ZNF502	ZNF	zinc finger protein 502
ZNF503	ZNF	zinc finger protein 503
ZNF506	ZNF	zinc finger protein 506
ZNF507	ZNF	zinc finger protein 507
ZNF508	ZNF	zinc finger protein 508
ZNF509	ZNF	zinc finger protein 509
ZNF510	ZNF	zinc finger protein 510
ZNF511	ZNF	zinc finger protein 511
ZNF512	ZNF	zinc finger protein 512
ZNF513	ZNF	zinc finger protein 513
ZNF514	ZNF	zinc finger protein 514
ZNF516	ZNF	zinc finger protein 516
ZNF517	ZNF	zinc finger protein 517
ZNF518	ZNF	zinc finger protein 518
ZNF519	ZNF	zinc finger protein 519
ZNF521	ZNF	zinc finger protein 521
ZNF524	ZNF	zinc finger protein 524
ZNF525	ZNF	zinc finger protein 525
ZNF526	ZNF	zinc finger protein 526
ZNF527	ZNF	zinc finger protein 527
ZNF528	ZNF	zinc finger protein 528
ZNF529	ZNF	zinc finger protein 529
ZNF530	ZNF	zinc finger protein 530
ZNF532	ZNF	zinc finger protein 532
ZNF533	ZNF	zinc finger protein 533
ZNF534	ZNF	zinc finger protein 534
ZNF536	ZNF	zinc finger protein 536
ZNF539	ZNF	zinc finger protein 539
ZNF540	ZNF	zinc finger protein 540
ZNF541	ZNF	zinc finger protein 541
ZNF542	ZNF	zinc finger protein 542
ZNF543	ZNF	zinc finger protein 543
ZNF544	ZNF	zinc finger protein 544
ZNF545	ZNF	zinc finger protein 545
ZNF546	ZNF	zinc finger protein 546
ZNF547	ZNF	zinc finger protein 547
ZNF548	ZNF	zinc finger protein 548
ZNF549	ZNF	zinc finger protein 549
ZNF550	ZNF	zinc finger protein 550
ZNF551	ZNF	zinc finger protein 551
ZNF552	ZNF	zinc finger protein 552
ZNF553	ZNF	zinc finger protein 553
ZNF554	ZNF	zinc finger protein 554
ZNF555	ZNF	zinc finger protein 555
ZNF556	ZNF	zinc finger protein 556
ZNF557	ZNF	zinc finger protein 557
ZNF558	ZNF	zinc finger protein 558
ZNF559	ZNF	zinc finger protein 559
ZNF560	ZNF	zinc finger protein 560
ZNF561	ZNF	zinc finger protein 561
ZNF562	ZNF	zinc finger protein 562
ZNF563	ZNF	zinc finger protein 563
ZNF564	ZNF	zinc finger protein 564
ZNF565	ZNF	zinc finger protein 565
ZNF566	ZNF	zinc finger protein 566
ZNF567	ZNF	zinc finger protein 567
ZNF568	ZNF	zinc finger protein 568
ZNF569	ZNF	zinc finger protein 569
ZNF570	ZNF	zinc finger protein 570
ZNF571	ZNF	zinc finger protein 571
ZNF572	ZNF	zinc finger protein 572
ZNF573	ZNF	zinc finger protein 573
ZNF574	ZNF	zinc finger protein 574
ZNF575	ZNF	zinc finger protein 575
ZNF576	ZNF	zinc finger protein 576
ZNF577	ZNF	zinc finger protein 577
ZNF578	ZNF	zinc finger protein 578
ZNF579	ZNF	zinc finger protein 579
ZNF580	ZNF	zinc finger protein 580
ZNF581	ZNF	zinc finger protein 581
ZNF582	ZNF	zinc finger protein 582
ZNF583	ZNF	zinc finger protein 583
ZNF584	ZNF	zinc finger protein 584
ZNF585A	ZNF	zinc finger protein 585A
ZNF585B	ZNF	zinc finger protein 585B
ZNF586	ZNF	zinc finger protein 586
ZNF587	ZNF	zinc finger protein 587
ZNF588	ZNF	zinc finger protein 588
ZNF589	ZNF	zinc finger protein 589
ZNF592	ZNF	zinc finger protein 592
ZNF593	ZNF	zinc finger protein 593
ZNF594	ZNF	zinc finger protein 594
ZNF595	ZNF	zinc finger protein 595
ZNF596	ZNF	zinc finger protein 596
ZNF597	ZNF	zinc finger protein 597
ZNF598	ZNF	zinc finger protein 598
ZNF599	ZNF	zinc finger protein 599
ZNF600	ZNF	zinc finger protein 600
ZNF601P	ZNF	zinc finger protein 601 pseudogene
ZNF602P	ZNF	zinc finger protein 602 pseudogene
ZNF603P	ZNF	zinc finger protein 603 pseudogene
ZNF604P	ZNF	zinc finger protein 604 pseudogene
ZNF605	ZNF	zinc finger protein 605
ZNF606	ZNF	zinc finger protein 606
ZNF607	ZNF	zinc finger protein 607
ZNF608	ZNF	zinc finger protein 608
ZNF609	ZNF	zinc finger protein 609
ZNF610	ZNF	zinc finger protein 610
ZNF611	ZNF	zinc finger protein 611
ZNF613	ZNF	zinc finger protein 613
ZNF614	ZNF	zinc finger protein 614
ZNF615	ZNF	zinc finger protein 615
ZNF616	ZNF	zinc finger protein 616
ZNF618	ZNF	zinc finger protein 618
ZNF619	ZNF	zinc finger protein 619
ZNF620	ZNF	zinc finger protein 620
ZNF621	ZNF	zinc finger protein 621
ZNF622	ZNF	zinc finger protein 622
ZNF623	ZNF	zinc finger protein 623
ZNF624	ZNF	zinc finger protein 624
ZNF625	ZNF	zinc finger protein 625
ZNF626	ZNF	zinc finger protein 626
ZNF627	ZNF	zinc finger protein 627
ZNF641	ZNF	zinc finger protein 641
ZNF675	ZNF	zinc finger protein 675
ZNF683	ZNF	zinc finger protein 683
ZNF691	ZNF	zinc finger protein 691
ZNF695	ZNF	zinc finger protein 695
ZNF697	ZNF	zinc finger protein 697
ZNF708	ZNF	zinc finger protein 708
ZNF709	ZNF	zinc finger protein 709
ZNF711	ZNF	zinc finger protein 711
ZNF717	ZNF	zinc finger protein 717
ZNF747	ZNF	zinc finger protein 747
ZNF761	ZNF	zinc finger protein 761
ZNF764	ZNF	zinc finger protein 764
ZNF766	ZNF	zinc finger protein 766
ZNF767	ZNF	zinc finger family member 767
ZNF771	ZNF	zinc finger protein 771
ZNF775	ZNF	zinc finger protein 775
ZNF777	ZNF	zinc finger protein 777
ZNF778	ZNF	zinc finger protein 778
ZNF780B	ZNF	zinc finger protein 780B
ZNF782	ZNF	zinc finger protein 782
ZNF783	ZNF	zinc finger protein 783
ZNF784	ZNF	zinc finger protein 784
ZNF785	ZNF	zinc finger protein 785
ZNF786	ZNF	zinc finger protein 786
ZNF787	ZNF	zinc finger protein 787
ZNF788	ZNF	zinc finger family member 788
ZNF789	ZNF	zinc finger protein 789
ZNF790	ZNF	zinc finger protein 790
ZNF792	ZNF	zinc finger protein 792
ZNF793	ZNF	zinc finger protein 793
ZNF799	ZNF	zinc finger protein 799
ZNF800	ZNF	zinc finger protein 800
ZXDA	ZNF	"zinc finger, X-linked, duplicated A"
ZXDB	ZNF	"zinc finger, X-linked, duplicated B"
